"","ks_goog","avg_jm_goog","jm_coef_var_goog","min_jm_goog","max_jm_goog","avg_nf_goog","nf_coef_var_goog","min_nf_goog","max_nf_goog","shortlist","cc","degree","burt","wc","peer_dev_lda","peer_dev_jacc","cc_orig","contest"
"3202",0.26336586,0.40835756,0.1607734,0,1,0.042780749,1.9470531,0,0.32352942,0,0.23333333,6,2.0060098,120,2.1910186,0.99437016,0,"Contest_11"
"3203",0.24901012,0.41719988,0.1150075,0.090909094,1,0.041075051,2.5470724,0,0.58823532,1,0.23333333,6,2.0060098,157,2.0419581,0.9906854,0,"Contest_11"
"3204",0.26359424,0.38907006,0.12458105,0,1,0.059339527,1.7406515,0,0.35294119,0,0,1,0,164,6.3571105,0.99191421,0,"Contest_11"
"3205",0.34132424,0.43336114,0.10658324,0.0625,1,0.042717088,2.0666795,0,0.38235295,0,0.23333333,6,2.0060098,105,2.6363714,0.9922834,0,"Contest_11"
"3206",0.26312664,0.40646133,0.105419,0.06666667,1,0.052790347,1.8464527,0,0.32352942,0,0,1,0,64,2.1808467,0.99420851,0,"Contest_11"
"3207",0.2547729,0.41541538,0.085613504,0.06666667,1,0.042279411,2.3618743,0,0.41176471,0,0.23333333,6,1.7700056,389,16.973377,0.9829998,0,"Contest_11"
"3208",0.66656846,0.78666669,7.0565024e-17,0.33333334,1,0.078431375,1.8791621,0,0.38235295,0,0,0,0,29,11.620663,0.99789733,0,"Contest_11"
"3209",0.16149604,0.34624264,0.12192756,0,1,0.048045304,2.0544779,0,0.47058824,0,0,0,0,497,1.7748709,0.97593349,0,"Contest_11"
"3210",0.45258155,0.50185126,0.062059157,0.1,1,0.047694754,2.0495257,0,0.32352942,0,0.089285716,8,1.281747,116,NA,0.99350423,0,"Contest_11"
"3211",0.1610643,0.37055185,0.092581101,0,1,0.067474045,1.7738698,0,0.38235295,0,0.15384616,13,1.725822,115,18.290598,0.99420953,0,"Contest_11"
"3212",0.1970541,0.33523187,0.1787196,0,1,0.075447567,1.7839335,0,0.58823532,0,0.071428575,8,1.2692971,163,3.403317,0.99244821,0,"Contest_11"
"3213",0.11879616,0.34660614,0.10704533,0,1,0.062012758,2.0203052,0,0.58823532,0,0.071428575,8,1.3571064,269,3.4247024,0.98608911,0,"Contest_11"
"3214",0.21967608,0.35622954,0.2654011,0,1,0.03791637,2.3396239,0,0.41176471,0,0,1,0,284,2.6562238,0.98751098,0,"Contest_11"
"3215",0.097611055,0.33496919,0.14838934,0,1,0.057692308,2.1231773,0,0.58823532,0,0.12727273,11,1.8685914,157,2.6456079,0.99297261,0,"Contest_11"
"3216",0.27405298,0.40628099,0.14848559,0,1,0.053829078,1.8558992,0,0.38235295,0,0.15384616,13,1.8258089,180,3.6751931,0.99034578,0,"Contest_11"
"3217",0.52281964,0.55801749,0.074646473,0.2,1,0.025951557,2.8666666,0,0.32352942,0,0.13333334,15,1.9407494,81,4.4522352,0.99543542,0,"Contest_11"
"3218",0.46342206,0.51808184,0.06797675,0.125,1,0.059912853,2.0502772,0,0.41176471,0,0.071428575,8,1.2692971,65,2.1630378,0.99649,0,"Contest_11"
"3219",0.14464651,0.35351396,0.13952692,0,1,0.048573975,2.2887473,0,0.58823532,0,0.15384616,13,1.7717658,174,7.4340792,0.99033391,0,"Contest_11"
"3220",0.26732513,0.41433424,0.10394245,0.090909094,1,0.0332244,2.3175132,0,0.32352942,0,0.12727273,11,1.9147553,150,1.1664162,0.99209142,0,"Contest_11"
"3221",0.13452733,0.32352489,0.15341629,0,1,0.049255848,2.1621308,0,0.58823532,0,0.10661764,17,2.0602946,252,12.222047,0.98732615,0,"Contest_11"
"3222",0.20367229,0.29865444,0.10791605,0,1,0.044117648,1.904736,0,0.32352942,0,0.13333334,15,1.9407494,135,2.6392393,0.99315429,0,"Contest_11"
"3223",0.20065847,0.36783534,0.19884703,0,1,0.043517407,2.1702232,0,0.38235295,0,0.083333336,4,1.0324,318,12.228488,0.98469388,0,"Contest_11"
"3224",0.27987045,0.41932732,0.099267334,0.083333336,1,0.11425339,1.4462564,0,0.58823532,0,0.13333334,15,1.9407494,61,11.965086,0.9956156,0,"Contest_11"
"3225",0.19949792,0.39759353,0.1580185,0,1,0.059491977,2.031534,0,0.55882353,0,0.071428575,7,1.2843159,318,2.6458039,0.98487246,0,"Contest_11"
"3226",0.16450965,0.34230158,0.14537069,0,1,0.064013839,2.1544909,0,0.58823532,0,0.083333336,9,1.3316945,157,3.6635339,0.99227393,0,"Contest_11"
"3227",0.36805773,0.40989453,0.1561379,0,1,0.055882353,1.8847201,0,0.41176471,0,0.13333334,15,1.9407494,83,16.647697,0.99456424,0,"Contest_11"
"3228",0.36288339,0.46689269,0.088035427,0.06666667,1,0.030565167,2.417599,0,0.32352942,1,0.083333336,4,1.0324,168,18.414827,0.99209142,0,"Contest_11"
"3229",0.32591182,0.43504351,0.10546889,0,1,0.044624746,2.5728371,0,0.58823532,0,0.16666667,3,1.1455555,294,2.6571403,0.98733509,0,"Contest_11"
"3230",0.21285583,0.39607897,0.1380748,0,1,0.042780749,2.4213061,0,0.58823532,0,0.15384616,13,1.8179268,260,2.6550434,0.9875198,0,"Contest_11"
"3231",0.070876695,0.32698715,0.12973809,0,1,0.068286449,1.8911669,0,0.58823532,0,0.14444445,10,1.7873598,391,9.0622187,0.97993666,0,"Contest_11"
"3232",0.2019143,0.3881174,0.12663493,0,1,0.071313456,1.9642501,0,0.58823532,0,0.089285716,8,1.281747,217,3.4202256,0.98753291,0,"Contest_11"
"3233",0.16708145,0.36348799,0.14450295,0,1,0.052287582,2.1560235,0,0.58823532,0,0.12727273,11,1.9147553,384,3.4299443,0.98169017,0,"Contest_11"
"3234",0.15484332,0.29536495,0.13664864,0,1,0.054621849,2.0322838,0,0.41176471,0,0,1,0,327,NA,0.98902655,0,"Contest_11"
"3235",0.59627575,0.61525977,0.05105627,0.27272728,1,0.05882353,1.7748239,0,0.32352942,0,0,1,0,32,2.5029967,0.99877256,0,"Contest_11"
"3236",0.29870254,0.46447536,0.11808819,0.071428575,1,0.025519032,2.738167,0,0.32352942,0,0,0,0,207,NA,0.99171805,0,"Contest_11"
"3237",0.17194965,0.35654446,0.11750425,0.043478262,1,0.09694989,1.4320444,0,0.58823532,0,0,0,0,62,2.6171503,0.99509031,0,"Contest_11"
"3238",0.40878892,0.47920346,0.041189872,0.2,0.5,0.032352943,2.3977721,0,0.32352942,0,0,0,0,73,24.229301,0.99613696,0,"Contest_11"
"3239",0.29226556,0.43268803,0.042325009,0.095238097,1,0.067951322,2.3573587,0,0.58823532,0,0,0,0,70,2.6105053,0.9956156,0,"Contest_11"
"3240",0.43323511,0.5780648,0.054237369,0.125,1,0.022624435,3.1288977,0,0.32352942,0,0,2,0.5,87,34.648064,0.99526232,0,"Contest_11"
"3241",0.93323511,1,0,1,1,0.011554622,5.1961522,0,0.32352942,0,0,1,0,58,18.131336,0.99947155,0,"Contest_11"
"3242",0.43997189,0.45306483,0.11796386,0,1,0.057142857,2.3180315,0,0.41176471,1,0,0,0,87,2.1800354,0.99700916,0,"Contest_11"
"3243",0.55111182,0.52855557,0.10148466,0.06666667,1,0.10294118,1.5297503,0,0.47058824,0,0,1,0,92,16.612865,0.99614036,0,"Contest_11"
"3244",0.21272981,0.4002066,0.17282271,0,1,0.050420169,1.8720657,0,0.38235295,0,0,0,0,177,NA,0.99049294,0,"Contest_11"
"3245",0.077848114,0.31687412,0.19350956,0,1,0.067170113,1.8895577,0,0.58823532,0,0,1,0,525,24.737421,0.98043752,0,"Contest_11"
"3246",0.56513268,0.57709789,0.1140296,0.15384616,1,0.038235296,2.505615,0,0.32352942,0,0,1,0,54,NA,0.99771887,0,"Contest_11"
"3247",0.10053879,0.30442095,0.16571453,0,1,0.04737315,2.1405122,0,0.55882353,0,0,0,0,1106,2.2135117,0.97422302,0,"Contest_11"
"3248",0.095260359,0.34790763,0.15830089,0,1,0.056372549,2.1414974,0,0.47058824,0,0,1,0,310,35.260105,0.98658663,0,"Contest_11"
"3249",0.12061501,0.30490252,0.19062638,0,1,0.071764708,1.7287635,0,0.58823532,0,0,0,0,318,3.4200122,0.98892015,0,"Contest_11"
"3250",0.22201842,0.2785112,0.15895893,0,1,0.046280276,2.1058338,0,0.38235295,0,0,0,0,217,3.4127424,0.9919014,0,"Contest_11"
"3251",0.20511156,0.36420378,0.15291075,0,1,0.05319149,1.7620372,0,0.32352942,0,0.5,2,1.0030864,135,12.134584,0.99262381,0,"Contest_11"
"3252",0.18631496,0.3716808,0.11000469,0,1,0.067827128,1.5846887,0,0.35294119,0,0.5,2,1.0030864,156,18.412079,0.99243492,0,"Contest_11"
"3253",0.1413898,0.3561452,0.10205019,0,1,0.069659442,1.5420045,0,0.35294119,0,0.33333334,7,2.2288389,92,2.1867807,0.99402988,0,"Contest_11"
"3254",0.27807173,0.40241489,0.070537776,0,1,0.041522492,1.9846051,0,0.32352942,0,0.5,2,1.0030864,163,3.6628134,0.99297136,0,"Contest_11"
