"wc","winner","shortlist","peer_dev_lda","peer_dev_jacc","ks_goog","contest"
209,0,0,3.3020039,0.95194083,0.070497409,"Contest_2"
280,0,0,2.5118699,0.92606282,0.049028661,"Contest_2"
451,0,0,2.6397908,0.93253237,0.14787824,"Contest_2"
97,0,0,2.4804606,0.97874308,0.31524575,"Contest_2"
83,0,0,2.7815523,0.97042513,0.12435962,"Contest_2"
175,0,0,14.724864,0.96580404,0.071062773,"Contest_2"
255,0,0,19.803135,0.94269872,0.16504182,"Contest_2"
485,0,0,2.8256207,0.91959333,0.059283148,"Contest_2"
49,0,0,29.497105,0.98151571,0.14930288,"Contest_2"
157,0,0,2.9305165,0.95933455,0.1166012,"Contest_2"
292,0,0,1.2606205,0.93438077,0.12854226,"Contest_2"
449,0,0,5.1336322,0.93622923,0.10636504,"Contest_2"
53,0,0,7.1500907,0.98643255,0.19291848,"Contest_3"
28,0,0,17.189753,0.99361533,0.97842014,"Contest_3"
31,0,0,8.5214882,0.99201918,0.42065343,"Contest_3"
24,0,0,5.275126,0.99521148,0.37842011,"Contest_3"
22,0,0,10.837253,0.99361533,0.31175345,"Contest_3"
183,0,0,1.4467626,0.97047085,0.16739622,"Contest_3"
13,0,0,9.5096645,0.99441344,0.51565522,"Contest_3"
22,0,0,1.9301687,0.99122107,0.17842013,"Contest_3"
301,0,1,6.7750978,0.97685558,0.97842014,"Contest_3"
7,0,0,5.6974072,0.99680763,0.5578773,"Contest_3"
7,0,0,2.5952902,0.99760574,0.97842014,"Contest_3"
11,0,0,3.7612729,0.99760574,0.97842014,"Contest_3"
52,0,0,7.0851045,0.99042296,0.43096265,"Contest_3"
82,0,0,8.8585215,0.98882681,0.1498487,"Contest_3"
53,0,0,8.6367016,0.98802871,0.23559088,"Contest_3"
17,0,1,8.740983,0.99122107,0.2732459,"Contest_3"
14,0,0,6.8297958,0.99281722,0.62829405,"Contest_3"
6,0,0,3.5041468,1,0.97842014,"Contest_3"
55,0,0,8.8270569,0.98962492,0.23429404,"Contest_3"
8,0,0,6.448482,0.99680763,0.64508677,"Contest_3"
30,0,0,32.403835,0.98962492,0.44232845,"Contest_3"
35,0,0,8.1668539,0.99042296,0.29180133,"Contest_3"
69,0,0,10.089738,0.9848364,0.24361508,"Contest_3"
10,0,0,9.3240271,0.99600959,0.63988286,"Contest_3"
32,0,0,7.0433197,0.98962492,0.26115894,"Contest_3"
27,0,0,17.098114,0.99521148,0.64508677,"Contest_3"
21,0,0,1.9155734,0.99521148,0.37842011,"Contest_3"
8,0,0,17.481693,0.99760574,0.37842011,"Contest_3"
23,0,0,8.3672924,0.99122107,0.23185438,"Contest_3"
56,0,0,5.5397701,0.98403829,0.25718349,"Contest_3"
10,0,0,6.0714335,0.99521148,0.64508677,"Contest_3"
21,0,0,5.3935695,0.99600959,0.97842014,"Contest_3"
125,0,0,6.7459464,0.97605747,0.97842014,"Contest_3"
4,0,0,3.5041461,0.99840385,0.64508677,"Contest_3"
19,0,0,8.5055332,0.99441344,0.6039542,"Contest_3"
11,0,0,18.093384,0.99600959,0.61943924,"Contest_3"
91,0,1,9.1286249,0.98004788,0.118126,"Contest_3"
16,0,0,7.9812756,0.99600959,0.60970086,"Contest_3"
17,0,0,5.2751274,0.99441344,0.47842011,"Contest_3"
27,0,0,6.4802289,0.99361533,0.37842011,"Contest_3"
36,0,0,1.9538949,0.98962492,0.3552269,"Contest_3"
31,0,0,41.589424,0.99361533,0.47842011,"Contest_3"
3,0,0,2.5621212,0.99920189,0.97842014,"Contest_3"
23,0,0,6.7812676,0.99361533,0.37842011,"Contest_3"
32,0,1,8.5164223,0.98882681,0.43495509,"Contest_3"
6,0,0,3.1982198,0.99760574,0.82413077,"Contest_3"
26,2,1,8.3672838,0.99122107,0.37244508,"Contest_3"
76,0,0,5.5599756,0.98802871,0.41036975,"Contest_3"
10,0,0,7.9105535,0.99521148,0.52156061,"Contest_3"
42,0,0,1.9572812,0.98882681,0.28731936,"Contest_3"
4,0,0,3.504159,0.99760574,0.69072926,"Contest_3"
19,0,0,6.4148192,0.99441344,0.36418667,"Contest_3"
27,0,0,2.9024999,0.99122107,0.38482472,"Contest_3"
29,0,0,11.011613,0.99281722,0.40501496,"Contest_3"
7,0,0,3.4798126,0.99760574,0.64508677,"Contest_3"
50,0,0,11.371585,0.98324025,0.33426097,"Contest_3"
47,0,0,4.3581581,0.98723066,0.20368831,"Contest_3"
20,0,0,7.9105496,0.99441344,0.37842011,"Contest_3"
64,0,0,1.9941202,0.97924978,0.098591529,"Contest_3"
10,0,0,7.5306149,0.99521148,0.48130155,"Contest_3"
13,0,0,6.6518393,0.99521148,0.62758577,"Contest_3"
42,0,0,8.8652573,0.99042296,0.24713045,"Contest_3"
40,0,1,5.47649,0.98403829,0.37021643,"Contest_3"
12,0,0,1.8669072,0.99361533,0.37842011,"Contest_3"
47,0,0,6.5129375,0.99042296,0.22842012,"Contest_3"
56,0,0,33.330517,0.98004788,0.26219082,"Contest_3"
19,0,0,7.9812832,0.99122107,0.22842012,"Contest_3"
8,0,0,4.8010015,0.99760574,0.97842014,"Contest_3"
24,0,0,8.5214968,0.99361533,0.81620735,"Contest_3"
124,0,0,1.9996468,0.9728651,0.11819477,"Contest_3"
25,0,0,8.4259901,0.99201918,0.25056204,"Contest_3"
14,0,0,4.5438795,0.99840385,0.97842014,"Contest_3"
79,0,0,1.9941207,0.97685558,0.094543993,"Contest_3"
25,0,0,10.837253,0.99441344,0.26413441,"Contest_3"
62,0,0,8.3511362,0.98962492,0.3670736,"Contest_3"
14,0,0,7.8551011,0.99281722,0.74506378,"Contest_3"
9,0,0,1.8471298,0.99521148,0.64508677,"Contest_3"
21,0,0,8.6957102,0.99201918,0.47842011,"Contest_3"
15,0,0,10.546647,0.99521148,0.70336729,"Contest_3"
10,0,0,36.260635,0.99441344,0.66846383,"Contest_3"
30,0,0,5.3935695,0.98882681,0.31561086,"Contest_3"
3,0,0,3.3138945,0.99680763,0.97842014,"Contest_3"
12,0,0,30.756512,0.99600959,0.95477217,"Contest_3"
28,0,0,5.4362192,0.99042296,0.42098257,"Contest_3"
6,0,0,39.203957,0.99600959,0.64508677,"Contest_3"
29,0,0,19.12644,0.98403829,0.1505128,"Contest_3"
33,0,0,8.2830362,0.98962492,0.26748943,"Contest_3"
31,0,0,8.8959017,0.98882681,0.33479574,"Contest_3"
20,0,0,8.2995205,0.99521148,0.64508677,"Contest_3"
46,0,0,8.7298403,0.98643255,0.23180173,"Contest_3"
51,0,0,1.9703196,0.98962492,0.41105837,"Contest_3"
47,0,0,1.9805804,0.99122107,0.12958044,"Contest_3"
17,0,1,8.6428862,0.99281722,0.26413441,"Contest_3"
67,0,0,5.4845428,0.98723066,0.17842013,"Contest_3"
24,0,0,38.207756,0.98723066,0.17781647,"Contest_3"
39,0,0,1.9064468,0.99361533,0.334021,"Contest_3"
67,2,1,19.16382,0.98403829,0.21023472,"Contest_3"
12,0,0,35.078526,0.99760574,0.97842014,"Contest_3"
24,0,0,1.9064463,0.99201918,0.29866877,"Contest_3"
11,0,0,16.527517,0.99840385,0.970487,"Contest_3"
38,0,0,1.9657557,0.98802871,0.2270008,"Contest_3"
10,0,0,3.3452187,0.99840385,0.51936758,"Contest_3"
22,0,0,16.864676,0.99361533,0.4320021,"Contest_3"
20,0,0,6.6518445,0.99680763,0.64508677,"Contest_3"
37,0,0,1.9631774,0.98802871,0.23651846,"Contest_3"
72,0,0,33.586811,0.97765362,0.24750447,"Contest_3"
30,0,0,41.589424,0.99281722,0.2561979,"Contest_3"
48,0,0,5.6415358,0.99201918,0.60381114,"Contest_3"
46,0,0,17.547424,0.99122107,0.4677901,"Contest_3"
29,0,0,5.375814,0.99042296,0.3121697,"Contest_3"
62,0,0,8.5630331,0.99042296,0.52074325,"Contest_3"
45,0,0,7.0967088,0.98962492,0.23787121,"Contest_3"
28,0,0,6.3867803,0.99521148,0.37842011,"Contest_3"
22,0,0,8.4259987,0.99361533,0.22842012,"Contest_3"
53,1,1,10.057843,0.98403829,0.14337638,"Contest_3"
40,0,0,1.9603633,0.98802871,0.39157459,"Contest_3"
18,0,0,1.847137,0.99441344,0.565189,"Contest_3"
13,0,0,10.546654,0.99600959,0.64508677,"Contest_3"
10,0,1,9.0323286,0.99600959,0.64508677,"Contest_3"
26,0,1,10.837259,0.99281722,0.43988284,"Contest_3"
9,0,0,6.1531954,0.99441344,0.74970078,"Contest_3"
38,0,0,8.8959055,0.99042296,0.37391153,"Contest_3"
10,0,0,36.260715,0.99441344,0.83806008,"Contest_3"
52,0,0,9.9273233,0.99201918,0.37746319,"Contest_3"
13,0,0,5.0737653,0.99760574,0.64508677,"Contest_3"
6,0,0,3.0477529,0.99680763,0.71620739,"Contest_3"
195,0,0,7.2891269,0.96009576,0.089885041,"Contest_3"
33,0,0,18.52837,0.99281722,0.26413441,"Contest_3"
6,0,0,15.997711,0.99760574,0.96091908,"Contest_3"
39,0,0,1.9631772,0.98723066,0.24095899,"Contest_3"
54,0,0,8.6192722,0.98324025,0.30779088,"Contest_3"
22,0,0,37.295052,0.99521148,0.34847397,"Contest_3"
11,0,0,7.9485373,0.99600959,0.97842014,"Contest_3"
15,0,0,6.2721119,0.99521148,0.63574702,"Contest_3"
25,1,1,1.9459879,0.99042296,0.3527607,"Contest_3"
54,0,0,5.5357103,0.97845173,0.177516,"Contest_3"
40,0,0,8.6096392,0.9848364,0.1993462,"Contest_3"
49,1,1,1.9703177,0.98802871,0.56515515,"Contest_3"
45,0,0,7.1348414,0.98643255,0.26732597,"Contest_3"
21,0,0,1.9064455,0.99281722,0.28346536,"Contest_3"
11,0,0,3.8166509,0.99600959,0.47842011,"Contest_3"
94,0,0,1.992712,0.98643255,0.12127727,"Contest_3"
18,0,0,8.3652229,0.99441344,0.39624637,"Contest_3"
21,0,0,41.394665,0.99840385,0.97842014,"Contest_3"
16,0,0,17.189806,0.99840385,0.97842014,"Contest_3"
39,0,0,18.976906,0.98643255,0.15790731,"Contest_3"
6,0,0,3.9851222,0.99760574,0.82413077,"Contest_3"
132,0,1,10.23152,0.97605747,0.26093572,"Contest_3"
68,0,0,11.433746,0.98244214,0.10192166,"Contest_3"
38,0,0,1.9538944,0.98723066,0.41848448,"Contest_3"
6,0,0,2.8874512,0.99840385,0.89766383,"Contest_3"
11,0,0,5.275126,0.99201918,0.57375675,"Contest_3"
19,0,0,6.4484897,0.99521148,0.34529942,"Contest_3"
15,2,1,8.2031908,0.99361533,0.61853677,"Contest_3"
21,0,0,31.63167,0.99441344,0.37842011,"Contest_3"
30,0,0,17.40016,0.99201918,0.26413441,"Contest_3"
77,0,0,5.8038011,0.99388379,0.098384544,"Contest_4"
66,0,0,15.91093,0.99598622,0.38792315,"Contest_4"
120,0,0,4.3500824,0.99254584,0.13268594,"Contest_4"
138,0,0,6.9151802,0.99311924,0.36856243,"Contest_4"
341,0,0,4.198452,0.98260701,0.081729367,"Contest_4"
116,0,0,2.996634,0.99178135,0.10967017,"Contest_4"
138,0,0,5.3879576,0.99235475,0.25054702,"Contest_4"
127,0,0,16.775471,0.99044341,0.21883723,"Contest_4"
251,0,0,2.046829,0.98642969,0.14089997,"Contest_4"
124,0,0,3.0045583,0.99139911,0.34076118,"Contest_4"
80,0,0,2.6265206,0.99655962,0.29334494,"Contest_4"
293,0,0,18.043413,0.9852829,0.16566476,"Contest_4"
235,0,0,17.184067,0.98795873,0.23895168,"Contest_4"
